input_0,input_1,input_2,input_3,input_4,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
-0.13101834,-0.5312158,-0.30969512,-0.33449948,-0.7924889,0.24783105,0.0,0.46558514,0.0,0.09862581,0.2741028,0.7595247,0.45555267,0.0,0.0,0.0,0.3157634,0.11282709,0.009764299,0.0,0.0,0.0,0.8388547,0.03138581,0.07016747,0.27676442,0.6049852,0.7312528,0.0,0.96795315,0.2604185,0.4360298,0.3746964,0.0,0.0,0.0,0.0,0.67738426,0.8277427,0.0,0.29436567,0.1699237,0.0,0.44022125,0.0,0.11722218,0.77346987,0.27521425,0.21285145,0.34896058,0.16054551,0.7993928,0.0,0.0,0.0,0.6745333,0.44099516,0.39432627,0.23525587,0.113970384,0.57672787,0.0,0.84204435,0.4013667,0.0,0.0,0.49356672,0.69204557,0.28466403,-0.16201088,0.7707111,0.4837597
-0.4495562,0.6185183,-0.20624359,1.2655679,0.43808514,0.0,0.67720646,0.24720366,0.85439354,0.0,0.0,0.0,0.0,0.0,0.09552364,0.5851993,0.068934806,0.0,0.9648563,0.5691558,0.5107291,0.3026167,0.24057348,1.0505174,0.0,0.2575462,0.5247446,0.0,0.9112029,0.0,0.44404212,0.0,0.0,0.1817401,0.8200315,1.7297099,0.35786974,0.8275005,0.49469116,0.0,0.7468458,0.0,0.0,0.33206835,0.0,1.0581541,0.41419518,0.0,0.7500252,0.17898485,0.03733553,0.53973734,0.0,0.9656977,0.39558408,0.4498381,0.9148737,0.15084256,0.7268323,1.0493128,0.20104654,0.0,0.45501745,0.027842134,0.44143665,1.004076,1.0196555,0.0,0.5626986,0.9367088,-0.56726474,-0.4429252
0.1241947,0.63064027,0.52743727,-0.92563957,-0.47455072,0.0,0.0,0.36370388,0.0,0.41441286,0.05330634,0.8680034,0.0,0.29495233,0.0,0.0,0.20933777,0.0,0.0,0.017641798,0.3427717,0.0,0.572975,0.0,0.19967882,0.837992,0.0,1.078887,0.62894285,0.12531,0.30770183,0.77611804,1.142915,0.0,0.0,0.109953284,0.0,0.10669118,1.109555,0.0,0.0,0.1338656,0.0,1.0658482,0.0,0.4295079,0.5319229,0.3542567,0.2833054,0.3387265,0.25135255,0.117044374,0.5065235,0.08988519,0.14714324,0.46908087,0.9985839,0.5312851,0.0019349158,0.12582459,0.859074,0.0,0.71899617,0.81643176,0.041200355,0.0,0.48988947,0.7875625,0.5611828,-0.740918,0.040830363,0.5863493
0.5658994,-2.4801068,0.16752046,-1.0194062,-1.182228,1.0697521,0.0,0.0,0.0095486045,1.4254482,1.1743405,0.47803977,0.801125,0.29524887,0.2663686,0.0,0.8014996,0.8675214,0.0,0.0,0.0,0.0,0.55360544,0.0,0.9978649,0.0072622895,0.6035148,0.8071679,0.0,2.2887878,0.0,1.1927814,0.6324138,0.0,0.0,0.0,0.0,1.2011837,1.3498914,0.0,0.34206077,1.0166806,0.0,0.38418183,0.0,0.0,1.2453283,1.0066636,0.37119287,0.7913933,1.0076381,1.6752707,0.26943475,0.0,0.39045855,1.2177314,0.19918558,1.0656116,0.1427048,0.3229711,1.1543413,0.4490433,0.8220042,0.67235905,0.0,0.0,0.3764235,1.3490895,0.25650936,-0.922509,1.6884776,1.0346138
-1.1219872,1.9783819,0.263668,1.1569014,1.3887855,0.0,1.6547216,0.12610272,1.0556123,0.0,0.0,0.0,0.0,0.018727303,0.08241029,0.42967075,0.0,0.0,1.342517,1.3372979,1.134858,0.40979785,0.20098409,1.2871721,0.0,0.7749742,0.0,0.0,2.417009,0.0,0.61628973,0.0,0.0,0.39199603,1.333549,3.0719981,1.0165608,0.7766889,0.7617788,0.0,1.2837857,0.0,0.0,0.6592338,0.0,1.8999717,0.29964668,0.0,1.4551618,0.311478,0.3448153,0.2094962,0.0,1.6326662,0.78598803,0.34945774,1.6679964,0.2319312,0.8698202,1.8576435,0.18484323,0.0,0.47495687,0.29154384,0.46498126,2.0354476,1.6085687,0.0,0.7499853,1.2023826,-1.6995168,-0.86103165
1.1312288,0.82305336,-0.86755866,-1.064612,-0.9369966,0.0,0.0,1.1078155,0.0,0.0,0.00060009956,1.546246,0.51927906,0.28050172,0.0,0.0,0.0,0.9236034,0.0,0.41793296,0.0,0.0,1.1150262,0.05395311,0.0,0.5397413,0.0,1.8745655,0.0,0.9279529,0.08811121,0.9018848,1.0815878,0.0,0.0,0.0,0.0,0.3660792,0.85549766,0.0,0.31447652,0.38576525,0.0,1.3937341,0.0,0.66425645,0.92823726,0.53552425,0.7282586,0.49406305,0.41664952,0.6995435,0.34082267,0.19277456,0.20375323,1.188942,1.3895698,0.50325,0.062194828,0.6074332,0.81107473,0.0,0.84881055,0.99371344,0.041016772,0.0,0.44208,1.2031646,0.17478856,-1.038487,0.29133558,0.14530852
0.14006019,1.1581545,1.7504364,-0.43522218,-0.4374516,0.0,0.46542695,0.0,0.23523355,0.682422,0.0,0.3128341,0.0,0.092595875,0.0,0.0,0.68602765,0.0,0.0,0.0,1.2106669,0.0,0.0,0.0,0.49294668,1.0921118,0.01111123,0.7469561,1.3437765,0.0,0.5045629,1.124476,1.3124288,0.0,0.0,0.7760452,0.102591544,0.33936614,1.7011479,0.0,0.0,0.0,0.0,0.9137511,0.0,0.47983795,0.4478978,0.44531304,0.25764316,0.18334669,0.4263844,0.0,0.6979743,0.12347347,0.33518767,0.22596562,0.9793792,0.83264285,0.009050734,0.030509308,1.1706681,0.04045534,0.84473944,0.7391259,0.034717754,0.64849186,0.96254164,0.7399632,1.0048374,-0.39702818,-0.12978306,1.1391549
-0.64227897,-1.4216521,0.21400084,-0.52222466,-1.1746004,0.83070827,0.0,0.17187421,0.11159526,0.81134206,0.89189553,0.6614686,0.50216705,0.0,0.06144142,0.0,0.7243363,0.0,0.0,0.0,0.0,0.0,0.77527857,0.0,0.53493214,0.24915561,0.9096222,0.4700498,0.0,1.4139317,0.32876605,0.61962426,0.4024719,0.0,0.0,0.0,0.0,1.0587493,1.2913227,0.0,0.29730934,0.5006126,0.0,0.19212525,0.0,0.0,1.0469807,0.515193,0.086113796,0.49148008,0.45549572,1.1913857,0.0,0.0,0.0,0.7209948,0.1383703,0.8080984,0.30336258,0.041080564,0.9287534,0.0644514,1.0231385,0.3564602,0.0,0.0,0.66940427,0.84404004,0.47364134,-0.15333483,1.3483753,1.032992
1.2682284,0.011941851,0.50860614,-1.1998885,-1.0651052,0.0,0.0,0.3850878,0.0,1.0398879,0.4388234,0.9395617,0.005959248,0.3461309,0.0,0.0,0.5028693,0.6426898,0.0,0.0,0.12922554,0.0,0.37792605,0.0,0.72256994,0.6420471,0.004647061,1.5623305,0.0,1.0258815,0.07769343,1.5403882,1.398184,0.0,0.0,0.0,0.0,0.48848176,1.2493954,0.0,0.0,0.606073,0.0,1.095772,0.0,0.29407978,0.97928166,0.7530196,0.3777238,0.4802396,0.65329933,0.7092022,0.6960196,0.0,0.3429376,0.9822581,0.83838814,1.096995,0.015518561,0.05560589,1.3500401,0.47563437,0.89206517,0.94086844,0.0,0.0,0.57150704,1.2532493,0.4585595,-1.216975,0.7469495,1.0877944
-1.0209149,1.0660049,1.4123659,1.152406,1.0105592,0.0,1.567282,0.0,1.4904845,0.0,0.0,0.0,0.0,0.0,0.0017310865,0.31668335,0.3380084,0.0,0.6973946,0.4735026,1.4869338,0.0,0.0,0.6218991,0.0,0.77429307,0.17251937,0.0,2.2308614,0.0,0.6329879,0.0,0.0389145,0.2875784,0.37855896,2.4978335,0.71028596,0.76993483,1.2333274,0.0,0.8224278,0.0,0.0,0.28137946,0.0,1.4325337,0.26920614,0.0,0.90557206,0.0,0.35160327,0.17085457,0.13230361,1.2503856,0.3580644,0.19625396,1.2569482,0.33606791,0.5699582,0.98360574,0.2831748,0.0,0.7095624,0.09597843,0.14344718,1.7075305,1.335591,0.15126204,0.9897869,1.1051925,-1.0597013,0.034839377
