=== [Causal Discovery] Fold 3 (3/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/alignment_results.csv
Warning: 1 constant columns detected; added tiny noise for correlation stability.
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/metadata.json
CI(0, 1 | ()) p=nan -> indep=False
CI(0, 5 | ()) p=0 -> indep=False
CI(1, 5 | ()) p=1.021e-09 -> indep=False
CI(2, 5 | ()) p=0.2667 -> indep=True
CI(3, 5 | ()) p=0 -> indep=False
CI(4, 5 | ()) p=0 -> indep=False
CI(0, 3 | (1,)) p=0 -> indep=False
CI(1, 3 | (0,)) p=4.441e-16 -> indep=False
CI(0, 4 | (1,)) p=0 -> indep=False
CI(0, 4 | (3,)) p=0.2725 -> indep=True
CI(1, 4 | (3,)) p=0.6986 -> indep=True
CI(0, 5 | (1,)) p=0 -> indep=False
CI(0, 5 | (3,)) p=0.2748 -> indep=True
CI(1, 5 | (3,)) p=0.8119 -> indep=True
CI(3, 5 | (4,)) p=0.5689 -> indep=True
Saved metrics to outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/performance_metrics.json
Saved baseline metrics to outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/baseline_performance_metrics.json
Saved PAG-vs-PAG metrics to outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/pag_vs_pag_metrics.json
Found 10 differences:
  1. Extra: 0 --- 1 (PAG: partial_ij)
  2. Extra: 0 --- 2 (PAG: partial_ij)
  3. Extra: 0 --- 4 (PAG: partial_ij)
  4. Extra: 0 --- 5 (PAG: partial_ij)
  5. Extra: 1 --- 2 (PAG: partial_ij)
  6. Extra: 1 --- 4 (PAG: partial_ij)
  7. Extra: 1 --- 5 (PAG: partial_ij)
  8. Extra: 2 --- 3 (PAG: partial_ij)
  9. Extra: 2 --- 4 (PAG: partial_ij)
  10. Extra: 3 --- 5 (PAG: partial_ij)
Found 5 partial orientation differences:
  1. Partial orientation: 0 --- 3 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 1 --- 3 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 2 --- 5 (DAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 3 --- 4 (DAG: directed_ij, PAG: partial_ij)
  5. Partial orientation: 4 --- 5 (DAG: directed_ij, PAG: partial_ij)
Saved edge comparison details to outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/edge_comparison.txt
Found 1 differences:
  1. Missing: 2 --- 5 (DAG: directed_ij)
Found 2 partial orientation differences:
  1. Partial orientation: 0 --- 3 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 1 --- 3 (DAG: directed_ij, PAG: partial_ij)
Saved baseline edge comparison details to outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/edge_comparison_baseline.txt
Found 11 differences:
  1. Extra: 0 --- 1 (PAG: partial_ij)
  2. Extra: 0 --- 2 (PAG: partial_ij)
  3. Extra: 0 --- 4 (PAG: partial_ij)
  4. Extra: 0 --- 5 (PAG: partial_ij)
  5. Extra: 1 --- 2 (PAG: partial_ij)
  6. Extra: 1 --- 4 (PAG: partial_ij)
  7. Extra: 1 --- 5 (PAG: partial_ij)
  8. Extra: 2 --- 3 (PAG: partial_ij)
  9. Extra: 2 --- 4 (PAG: partial_ij)
  10. Extra: 2 --- 5 (PAG: partial_ij)
  11. Extra: 3 --- 5 (PAG: partial_ij)
Found 2 partial orientation differences:
  1. Partial orientation: 3 --- 4 (Reference PAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 4 --- 5 (Reference PAG: directed_ij, PAG: partial_ij)
Saved PAG-vs-PAG edge comparison details to outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/edge_comparison_pag_vs_pag.txt
Saved figure to outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/pag_vs_dag.png
Saved baseline figure to outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/baseline_pag_vs_dag.png
Saved combined DAG comparison to outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/pags_vs_dag.png
Saved PAG-vs-PAG figure to outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/pag_vs_pag.png
Saved adjacency matrix to outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/learned_graph_adj.npy
Saved baseline adjacency matrix to outputs/experiments/electrical_circuit_weights_shallow_mlp_align_observable_state/3/baseline_graph_adj.npy
