input_0,input_1,input_2,input_3,input_4,input_5,input_6,act_1_act1_0,act_1_act1_1,act_1_act1_2,act_1_act1_3,act_1_act1_4,act_1_act1_5,act_1_act1_6,act_1_act1_7,act_1_act1_8,act_1_act1_9,act_1_act1_10,act_1_act1_11,act_1_act1_12,act_1_act1_13,act_1_act1_14,act_1_act1_15,act_1_act1_16,act_1_act1_17,act_1_act1_18,act_1_act1_19,act_1_act1_20,act_1_act1_21,act_1_act1_22,act_1_act1_23,act_1_act1_24,act_1_act1_25,act_1_act1_26,act_1_act1_27,act_1_act1_28,act_1_act1_29,act_1_act1_30,act_1_act1_31,act_2_act2_0,act_2_act2_1,act_2_act2_2,act_2_act2_3,act_2_act2_4,act_2_act2_5,act_2_act2_6,act_2_act2_7,act_2_act2_8,act_2_act2_9,act_2_act2_10,act_2_act2_11,act_2_act2_12,act_2_act2_13,act_2_act2_14,act_2_act2_15,act_2_act2_16,act_2_act2_17,act_2_act2_18,act_2_act2_19,act_2_act2_20,act_2_act2_21,act_2_act2_22,act_2_act2_23,act_2_act2_24,act_2_act2_25,act_2_act2_26,act_2_act2_27,act_2_act2_28,act_2_act2_29,act_2_act2_30,act_2_act2_31,output_0,output_1,output_2
-0.387837,0.5690355,0.8409805,-0.67133707,0.55763143,0.7863206,-0.84197456,0.0,0.44361567,0.0,0.21444094,0.0,0.0,0.0,0.6693516,1.0111871,0.0,0.066085085,0.029604346,0.0,0.0,0.0,0.045220256,0.7382554,0.0,0.039236486,0.0,0.2245478,1.126278,0.3256572,0.97451127,0.0,0.0,1.2573974,0.08410685,0.19332817,0.0,0.0,0.0,0.36594406,0.09643051,0.08410238,0.30539876,0.35203528,0.26866376,0.17167303,0.77030104,0.653921,0.0,0.40590334,0.7791406,0.5045313,0.2794255,0.3662693,0.48975688,0.44002837,0.0,0.38829595,0.23453538,0.2581176,0.5688895,0.16252099,0.7011851,1.067735,0.5045861,0.9446217,0.7024622,0.70472914,0.5162719,0.36101747,0.5957452,0.5286258,0.4292199,1.0087304
1.5807157,0.16427484,2.2926943,1.1408436,-0.90800756,0.09000517,-0.31490535,0.0,0.56519794,0.0,0.0,0.11048406,0.0,0.9205639,0.0,0.0,0.0,0.0,1.7469988,0.93702555,1.1147685,0.0,0.38463748,0.0,0.20813794,0.0,0.0046983687,0.08530852,0.0,1.1575649,0.78481525,0.4300226,1.2656757,0.76259315,0.0,0.6323936,1.365683,0.8575056,0.5957756,1.3308824,1.5973223,0.84063137,0.43782958,0.0,0.5924238,1.3501481,0.18113664,0.35255295,0.0,1.1019717,0.2501267,1.3367778,0.092622645,0.90754485,0.0,1.2300556,0.0,1.4162856,0.77233636,0.71495134,0.0,0.5600535,0.36335436,0.23545454,0.22497573,0.74618113,1.1318188,0.1974555,0.6422309,0.090435065,0.30317646,-1.2697464,-0.6503492,-0.12530854
-1.1423144,0.6123495,0.8766767,0.22228038,1.2854792,0.55951893,-0.468258,0.0,0.46451712,0.51956266,0.0020607263,0.0,0.0,0.0,0.5895532,1.2386198,0.0,0.22853135,0.0,0.0,0.0,0.0,0.0,0.9028599,0.0,0.5805621,0.32825086,0.78440225,1.602849,0.0,0.19547397,0.0,0.0,0.8515384,0.05905415,0.30052072,0.0,0.0,0.0,0.38913113,0.33757734,0.11598155,0.31190225,0.8150812,0.0,0.1059326,0.8830097,0.39145446,0.0,0.17100167,0.43515545,0.1553032,0.17057557,0.048065573,0.6721823,0.0,0.0,0.3276439,0.48328236,0.7822079,0.8546205,0.0,0.7084482,0.92300946,0.9673477,0.6935419,0.44223088,0.69228053,0.7617608,0.38825494,1.1042585,1.2198709,0.2910066,0.34497753
-0.93776274,-0.4031678,1.1729804,0.20701814,0.614367,0.20144643,-0.27749056,0.30893493,0.42984012,0.21823335,0.0,0.39852563,0.0,0.13144445,0.0,0.73472923,0.16995469,0.0,0.015312493,0.0,0.30990857,0.03186366,0.12777409,0.56476104,0.0,0.13977158,0.5095979,0.6241809,1.1981537,0.38042027,0.3786252,0.0,0.0035985708,0.22286493,0.0,0.24193966,0.0,0.32994953,0.0,0.3403857,0.41555282,0.25586352,0.14369053,0.26718104,0.0,0.14606163,0.63524437,0.38369548,0.0,0.3773042,0.43601295,0.32309732,0.15930508,0.28874123,0.32518643,0.0,0.0,0.6100602,0.3764837,0.6795478,0.5454855,0.0,0.5846782,0.6265539,0.752245,0.56604916,0.2866869,0.37134892,0.6510752,0.019182295,0.906496,0.70003504,-0.20202333,0.24651147
1.3128501,-2.0287116,-0.7782269,0.70744824,-2.0542247,-2.4426663,2.136176,2.2815807,0.0,0.0,0.0,1.9591115,0.0,1.7952551,0.0,0.0,1.72581,0.0,2.411202,1.2402444,1.9969058,1.623647,0.8087228,0.0,2.1198487,0.0,0.6165217,0.36178842,0.0,0.52504194,0.0,1.5194062,0.9551612,0.0,0.3357324,0.21307144,0.46838322,1.8724697,1.0165918,2.3110828,3.229105,2.7064931,1.280181,0.0,0.29873338,1.9926044,0.5398823,0.43122965,0.0,1.6758792,0.4448963,2.2842247,0.21177268,1.4179016,0.0,1.3004329,0.54390305,2.6235511,1.4181002,2.427367,0.23274964,0.26690552,0.39487913,0.18088159,1.2916683,0.18380013,0.6779692,0.0069498196,1.1287578,0.34456587,0.8252288,-1.6442,-1.9209449,-1.8474617
-2.0047293,0.7240646,0.38336563,-0.7372118,1.9162891,1.9034197,-1.8980683,0.0,0.27178538,0.57263076,0.7736052,0.0,0.0,0.0,1.3011004,2.2156544,0.0,0.09402774,0.0,0.0,0.0,0.0,0.0,2.5561883,0.0,0.96203715,0.0,0.41281933,2.126317,0.0,0.9249376,0.0,0.0,1.9740534,0.010094285,0.17990902,0.0,0.0,0.0,0.16467644,0.16136745,0.0,0.275712,1.0662836,0.45161253,0.15911624,1.6418912,1.06929,0.0,0.3907988,1.1460698,0.31025428,0.82535434,0.44741195,1.3140328,0.42612934,0.07501509,0.10272589,0.52320075,0.98293626,1.2457504,0.4244799,1.2427852,1.741662,1.5011526,1.7365375,1.4219263,1.7391738,1.0749441,0.94078386,1.4444098,1.8856692,1.4850346,1.7108235
-0.5435598,0.58597726,0.2831987,-0.19825059,0.6503874,1.5301471,-1.294999,0.0,0.0,0.11945616,0.4378863,0.0,0.0,0.0,1.0298756,1.2235738,0.0,0.1992308,0.0,0.0,0.0,0.0,0.41734907,1.2688847,0.0,0.3052786,0.0,0.14092831,0.8031002,0.164436,0.9029918,0.0,0.0,1.6934613,0.11742535,0.47784525,0.0,0.0,0.0,0.37352255,0.0679936,0.09960966,0.41820922,0.68298167,0.7442839,0.1853219,0.76532525,0.75067276,0.0,0.20897496,0.6805937,0.4905252,0.68555725,0.50011563,0.729333,0.39625436,0.0,0.2012835,0.42294186,0.33193392,0.8274919,0.6669426,0.6604488,1.0853618,0.830831,1.2672517,1.0152918,1.1698639,0.33637053,0.70835435,0.5514719,0.5924811,1.2909112,1.1478724
0.29345647,0.6462692,-0.7558932,0.5634471,0.7205093,0.8584568,-0.86366266,0.0,0.0,0.43148273,0.4983272,0.231468,0.0,0.0,1.2755214,0.7804563,0.1253856,0.6572027,0.0,0.0,0.0,0.0,0.38664246,0.72682744,0.16428958,0.37719464,0.0,0.14327405,0.0,0.008217081,0.054212958,0.0,0.0,1.4863076,0.44962907,0.4865159,0.015293032,0.0,0.0,0.700394,0.36455482,0.31634852,0.5124777,0.902224,0.77613246,0.1882106,0.5352156,0.35728124,0.0,0.0,0.23059106,0.47483754,0.59026766,0.22271435,0.5685737,0.43260127,0.16147166,0.35060802,0.5167849,0.46874875,0.7858788,0.7309339,0.43990853,0.8377833,0.9631846,0.8079983,0.8285667,0.96728075,0.19823219,0.5707669,0.39629608,0.3142763,1.0756207,0.4336439
-1.5169797,-0.30705056,0.7369933,-1.494493,0.64094627,0.12580957,-1.0134683,0.7574872,0.7319406,0.0,0.5095886,0.2583992,0.0,0.0,0.09790403,1.1601136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2833644,0.0,0.0,0.16285808,0.3285433,1.6825352,0.5130404,1.1771406,0.0,0.0,0.5622759,0.0,0.0,0.0,0.0,0.0,0.19892052,0.33692443,0.16871105,0.019028693,0.06670354,0.0,0.0,0.9447816,0.7863436,0.0,0.6957706,1.1387593,0.61131644,0.12736313,0.5195287,0.3557671,0.3624968,0.0,0.4425194,0.14580649,0.5213626,0.5054428,0.0,0.9086555,1.142926,0.76185423,1.0688244,0.7006286,0.6713438,0.8866798,0.12091371,1.1869384,0.91694653,-0.11196406,1.1643612
-0.2846648,0.13875249,-0.12535784,-0.62477016,0.41501373,0.28017217,-0.32145247,0.26250008,0.20615306,0.0,0.4491278,0.09945741,0.0,0.0,0.6350481,0.57754636,0.19568531,0.20357908,0.061447054,0.0,0.0,0.0,0.1670952,0.66207546,0.20591152,0.0,0.0,0.24537717,0.6893736,0.13367867,0.538547,0.0,0.0,0.71779287,0.3710758,0.13715017,0.0,0.0,0.0,0.38879842,0.336197,0.1894244,0.3512618,0.4129138,0.28303945,0.12463439,0.5253476,0.4817001,0.0,0.30516973,0.49544367,0.52030885,0.2815553,0.29811618,0.321675,0.29597336,0.074929364,0.37796023,0.31124294,0.37055063,0.52090997,0.21994707,0.4799814,0.73513204,0.5809978,0.6204306,0.5389473,0.5196408,0.35445046,0.29236826,0.5613162,0.35886583,0.30986324,0.49401644
