=== [Causal Discovery] Fold 4 (4/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/metadata.json
  10. Wrong orientation: 6 --- 11 (DAG: directed_ij, PAG: bidirected)
  11. Wrong orientation: 7 --- 8 (DAG: directed_ij, PAG: bidirected)
  12. Wrong orientation: 8 --- 9 (DAG: directed_ij, PAG: bidirected)
  13. Wrong orientation: 8 --- 12 (DAG: directed_ij, PAG: bidirected)
  14. Wrong orientation: 9 --- 10 (DAG: directed_ij, PAG: bidirected)
  15. Missing: 10 --- 13 (DAG: directed_ij)
Found 3 partial orientation differences:
  1. Partial orientation: 0 --- 6 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 3 --- 8 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 5 --- 13 (DAG: directed_ij, PAG: partial_ij)
Saved edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/edge_comparison.txt
Found 13 differences:
  1. Missing: 0 --- 11 (DAG: directed_ij)
  2. Missing: 3 --- 9 (DAG: directed_ij)
  3. Extra: 4 --- 9 (PAG: partial_ij)
  4. Missing: 4 --- 10 (DAG: directed_ij)
  5. Missing: 5 --- 10 (DAG: directed_ij)
  6. Wrong orientation: 6 --- 7 (DAG: directed_ij, PAG: bidirected)
  7. Wrong orientation: 6 --- 11 (DAG: directed_ij, PAG: bidirected)
  8. Wrong orientation: 7 --- 8 (DAG: directed_ij, PAG: bidirected)
  9. Missing: 8 --- 9 (DAG: directed_ij)
  10. Wrong orientation: 8 --- 12 (DAG: directed_ij, PAG: bidirected)
  11. Missing: 9 --- 10 (DAG: directed_ij)
  12. Extra: 10 --- 11 (PAG: partial_ij)
  13. Missing: 10 --- 13 (DAG: directed_ij)
Found 7 partial orientation differences:
  1. Partial orientation: 0 --- 6 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 1 --- 6 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 1 --- 7 (DAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 2 --- 8 (DAG: directed_ij, PAG: partial_ij)
  5. Partial orientation: 3 --- 8 (DAG: directed_ij, PAG: partial_ij)
  6. Partial orientation: 3 --- 12 (DAG: directed_ij, PAG: partial_ij)
  7. Partial orientation: 5 --- 13 (DAG: directed_ij, PAG: partial_ij)
Saved baseline edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/edge_comparison_baseline.txt
Found 8 differences:
  1. Missing: 1 --- 6 (Reference PAG: partial_ij)
  2. Missing: 1 --- 7 (Reference PAG: partial_ij)
  3. Missing: 2 --- 8 (Reference PAG: partial_ij)
  4. Missing: 3 --- 12 (Reference PAG: partial_ij)
  5. Missing: 4 --- 9 (Reference PAG: partial_ij)
  6. Extra: 8 --- 9 (PAG: bidirected)
  7. Extra: 9 --- 10 (PAG: bidirected)
  8. Missing: 10 --- 11 (Reference PAG: partial_ij)
Saved PAG-vs-PAG edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/edge_comparison_pag_vs_pag.txt
Saved figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/pag_vs_dag.png
Saved baseline figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/baseline_pag_vs_dag.png
Saved combined DAG comparison to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/pags_vs_dag.png
Saved PAG-vs-PAG figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/pag_vs_pag.png
Saved adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/learned_graph_adj.npy
Saved baseline adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_tabular_mlp_align/4/baseline_graph_adj.npy
