=== [Causal Discovery] Fold 3 (3/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/3/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align_observable_state/3/metadata.json
CI(5, 9 | ()) p=0.8541 -> indep=True
CI(6, 9 | ()) p=0.6806 -> indep=True
CI(7, 9 | ()) p=0.1651 -> indep=True
CI(8, 9 | ()) p=0.003137 -> indep=False
CI(0, 10 | ()) p=0.3761 -> indep=True
CI(1, 10 | ()) p=0.3694 -> indep=True
CI(2, 10 | ()) p=0.6632 -> indep=True
CI(3, 10 | ()) p=0.3869 -> indep=True
CI(4, 10 | ()) p=0.553 -> indep=True
CI(5, 10 | ()) p=0.1084 -> indep=True
CI(6, 10 | ()) p=0.9051 -> indep=True
CI(7, 10 | ()) p=0.498 -> indep=True
CI(8, 10 | ()) p=0.3114 -> indep=True
CI(9, 10 | ()) p=0.001663 -> indep=False
CI(0, 11 | ()) p=0.0001731 -> indep=False
CI(1, 11 | ()) p=0.1588 -> indep=True
CI(2, 11 | ()) p=0.06818 -> indep=True
CI(3, 11 | ()) p=0.7269 -> indep=True
CI(4, 11 | ()) p=0.6426 -> indep=True
CI(5, 11 | ()) p=0.7708 -> indep=True
CI(6, 11 | ()) p=4.78e-09 -> indep=False
CI(7, 11 | ()) p=0.006172 -> indep=False
CI(8, 11 | ()) p=0.6332 -> indep=True
CI(9, 11 | ()) p=0.7685 -> indep=True
CI(10, 11 | ()) p=0.6137 -> indep=True
CI(0, 12 | ()) p=0.1691 -> indep=True
CI(1, 12 | ()) p=0.371 -> indep=True
CI(2, 12 | ()) p=0.4047 -> indep=True
CI(3, 12 | ()) p=7.593e-05 -> indep=False
CI(4, 12 | ()) p=0.1437 -> indep=True
CI(5, 12 | ()) p=0.8515 -> indep=True
CI(6, 12 | ()) p=0.6609 -> indep=True
CI(7, 12 | ()) p=0.001485 -> indep=False
CI(8, 12 | ()) p=0.00251 -> indep=False
CI(9, 12 | ()) p=0.3097 -> indep=True
CI(10, 12 | ()) p=0.3751 -> indep=True
CI(11, 12 | ()) p=0.9349 -> indep=True
CI(0, 13 | ()) p=0.7907 -> indep=True
CI(1, 13 | ()) p=0.4629 -> indep=True
CI(2, 13 | ()) p=0.7523 -> indep=True
CI(3, 13 | ()) p=0.3427 -> indep=True
CI(4, 13 | ()) p=0.3197 -> indep=True
CI(5, 13 | ()) p=0.00369 -> indep=False
CI(6, 13 | ()) p=0.07289 -> indep=True
CI(7, 13 | ()) p=0.449 -> indep=True
CI(8, 13 | ()) p=0.2826 -> indep=True
