=== [Causal Discovery] Fold 1 (1/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align/1/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align/1/metadata.json
CI(0, 1 | ()) p=0.7368 -> indep=True
CI(5, 7 | (6,)) p=0.05331 -> indep=True
CI(6, 7 | (2,)) p=1.614e-07 -> indep=False
CI(6, 8 | (7,)) p=0.3368 -> indep=True
CI(0, 10 | (2,)) p=0.001913 -> indep=False
CI(0, 10 | (5,)) p=0.1723 -> indep=True
CI(2, 10 | (5,)) p=9.034e-05 -> indep=False
CI(2, 10 | (7,)) p=0.0006306 -> indep=False
CI(5, 10 | (2,)) p=0.001969 -> indep=False
CI(5, 10 | (7,)) p=0.009636 -> indep=False
CI(7, 10 | (2,)) p=1.731e-06 -> indep=False
CI(7, 10 | (5,)) p=6.639e-06 -> indep=False
CI(4, 11 | (8,)) p=7.994e-15 -> indep=False
CI(8, 11 | (4,)) p=1.527e-07 -> indep=False
Saved metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align/1/performance_metrics.json
Saved baseline metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align/1/baseline_performance_metrics.json
Saved PAG-vs-PAG metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align/1/pag_vs_pag_metrics.json
Found 11 differences:
  1. Wrong orientation: 0 --- 5 (DAG: directed_ij, PAG: bidirected)
  2. Wrong orientation: 0 --- 9 (DAG: directed_ij, PAG: bidirected)
  3. Missing: 1 --- 6 (DAG: directed_ij)
  4. Missing: 3 --- 7 (DAG: directed_ij)
  5. Missing: 3 --- 8 (DAG: directed_ij)
  6. Extra: 4 --- 10 (PAG: partial_ij)
  7. Wrong orientation: 5 --- 6 (DAG: directed_ij, PAG: bidirected)
  8. Missing: 5 --- 9 (DAG: directed_ij)
  9. Wrong orientation: 6 --- 7 (DAG: directed_ij, PAG: bidirected)
  10. Wrong orientation: 7 --- 8 (DAG: directed_ij, PAG: bidirected)
  11. Wrong orientation: 7 --- 10 (DAG: directed_ij, PAG: bidirected)
Found 4 partial orientation differences:
  1. Partial orientation: 1 --- 5 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 2 --- 7 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 2 --- 10 (DAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 4 --- 11 (DAG: directed_ij, PAG: partial_ij)
Saved edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align/1/edge_comparison.txt
Found 12 differences:
  1. Wrong orientation: 0 --- 5 (DAG: directed_ij, PAG: bidirected)
  2. Wrong orientation: 0 --- 9 (DAG: directed_ij, PAG: bidirected)
  3. Missing: 1 --- 5 (DAG: directed_ij)
  4. Missing: 1 --- 6 (DAG: directed_ij)
  5. Missing: 3 --- 7 (DAG: directed_ij)
  6. Missing: 3 --- 8 (DAG: directed_ij)
  7. Wrong orientation: 5 --- 6 (DAG: directed_ij, PAG: bidirected)
  8. Missing: 5 --- 9 (DAG: directed_ij)
  9. Extra: 5 --- 10 (PAG: bidirected)
  10. Wrong orientation: 7 --- 8 (DAG: directed_ij, PAG: bidirected)
  11. Wrong orientation: 7 --- 10 (DAG: directed_ij, PAG: bidirected)
  12. Wrong orientation: 8 --- 11 (DAG: directed_ij, PAG: bidirected)
Found 3 partial orientation differences:
  1. Partial orientation: 2 --- 7 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 2 --- 10 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 4 --- 11 (DAG: directed_ij, PAG: partial_ij)
Saved baseline edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align/1/edge_comparison_baseline.txt
Found 5 differences:
  1. Extra: 1 --- 5 (PAG: partial_ij)
  2. Extra: 4 --- 10 (PAG: partial_ij)
  3. Missing: 5 --- 10 (Reference PAG: bidirected)
  4. Wrong orientation: 6 --- 7 (Reference PAG: directed_ij, PAG: bidirected)
  5. Wrong orientation: 8 --- 11 (Reference PAG: bidirected, PAG: directed_ij)
Saved PAG-vs-PAG edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align/1/edge_comparison_pag_vs_pag.txt
Saved figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align/1/pag_vs_dag.png
Saved baseline figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align/1/baseline_pag_vs_dag.png
Saved combined DAG comparison to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align/1/pags_vs_dag.png
Saved PAG-vs-PAG figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align/1/pag_vs_pag.png
Saved adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align/1/learned_graph_adj.npy
Saved baseline adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_tabular_mlp_align/1/baseline_graph_adj.npy
